    halos_ID     halos_RA    halos_DEC      halos_z      halos_X      halos_Y      halos_Z  halos_M200b   halos_Mvir   halos_Rvir 
   127753468      1.70401    -0.103083     0.434013      1140.85      234.423      139.473   1.0557e+13   9.9076e+12     0.496491
     7596674     0.146343    -0.588973     0.236193     -109.243      506.597      425.795   7.7324e+13     7.21e+13       0.9242
   113478143      6.17396    -0.244293     0.886837     -907.524      1794.58      702.044   1.0395e+13   1.0395e+13     0.530623
   123377069     0.998596    -0.373776     0.365387      569.303      703.598      436.676   1.7866e+13    1.543e+13     0.568552
   130035514     0.984882    -0.986694     0.796836      651.335      700.654      1709.97   2.5175e+13   2.4363e+13     0.699867
     5698135      1.73513    -0.972318     0.145529      235.593      8.21289      350.366   1.3328e+13   1.2257e+13     0.499349
   124955993      0.36055    0.0619164     0.598326      21.0139      1548.47      58.8479    1.478e+13   1.4293e+13     0.574196
   112794110      6.17117    -0.442845     0.684599     -690.085         1323      882.554   1.3968e+13   1.3968e+13     0.575332
   120191077     0.126058    0.0448272     0.860944     -455.545      2028.31      111.827   1.1045e+13   1.1045e+13     0.540412
   128683849       1.3885   -0.0867373     0.464383      1071.59      612.692      164.855     2.55e+13   2.4688e+13     0.676389
     4749162      6.16854    -0.630751     0.151433     -156.537      289.849      289.901   6.9622e+13   5.7198e+13     0.835952
   125354105     0.501849    -0.578813     0.742149       244.23      1422.46      1159.31   1.5267e+13   1.4618e+13     0.587426
   125864098     0.648875    -0.173437     0.724114      533.476      1667.04      479.464   3.3134e+13   3.2646e+13     0.766529
   130535000      1.16798    -0.408047     0.667607      1144.17       989.87       771.16   1.7216e+13   1.6404e+13     0.605925
   122165094      0.86272     -1.32483     0.852913      257.676      235.581      2037.04   2.7774e+13   2.7286e+13     0.730116
   140506142      1.44989     -0.40926     0.802961         1618      733.528      854.364   3.3946e+13   3.2159e+13     0.768124
   131269895     0.963758    -0.239725     0.839207      1149.42      1560.94      638.182   1.4455e+13   1.3318e+13     0.574243
   134208321      1.74038    -0.768785     0.879203      1503.87      120.455      1483.53   2.0952e+13   2.0627e+13     0.666424
   128915452      1.17825     -0.66617     0.505707      783.417      624.757       892.35   2.3226e+13   2.1927e+13     0.654199
