    halos_ID     halos_RA    halos_DEC      halos_z      halos_X      halos_Y      halos_Z      halos_M   halos_Rvir 
    10369122      335.958      28.5392     0.249216      565.985      252.488      337.046   2.0026e+13      644.145
     8488899      357.023      50.9499      0.27509      486.833       25.322      600.926   3.9851e+12       382.12
     4695995      245.641      57.7748     0.183831      -116.27      256.801      447.207   9.6446e+12      484.351
    16928964      209.187      77.9866     0.315641     -159.724      89.2208      859.741   9.6111e+12       510.69
   122554813      321.926      38.0277     0.328664      565.713      443.154      562.009    3.086e+12      366.479
     4585786      216.779      78.5598     0.262214     -117.546       87.868      725.211   1.8418e+12      330.933
    18426646      282.211      51.0755      0.33455      123.229      569.412      721.384   2.6456e+12      333.864
     2150207      196.936      22.1936     0.265128     -662.192      201.645      282.397   9.0083e+12      485.154
    18759638      350.201      4.41157     0.111289      319.802      55.2364      25.0377   3.4158e+12      335.815
    16345385      232.065      50.4341     0.314889     -343.442      440.621      676.121   6.1283e+12      449.703
    16253065      230.669        5.152     0.213973      -385.62      470.623      54.8577   3.4493e+12       350.06
    18835020      343.844      13.4314     0.173037      466.066      135.016      115.878    9.745e+12      501.115
    16268050      241.597      6.99488     0.209029     -282.098      521.655      72.7631   1.1989e+13       538.55
     4789377      247.748       54.233     0.202412     -128.266      313.485      470.205   1.5371e+13      585.176
    14990768      199.767      16.9112     0.266389     -676.117      242.978      218.436   5.0232e+12      405.553
     8709571      323.077      6.25887     0.169544       388.76      292.136      53.3336   5.7097e+13      898.764
     5850259      315.947      54.1172     0.204672      246.704      238.683      474.505   6.2623e+12      431.165
     8013614      288.966      29.3627     0.241121      193.716      563.687      335.343    2.947e+12      339.143
   121765349      289.781      67.0167     0.318408      117.091      325.567      815.747   1.7379e+13      613.913
     8920137      302.579      23.4796     0.222653      313.295      490.276       252.74   3.4158e+12      350.846
     5642669      350.027      67.9455    0.0347885      38.2811      6.73132      95.9397   2.5116e+12      302.145
    19180985       353.57      34.0459     0.318952      730.731      82.3572      496.862    4.119e+12       382.29
   117049676      239.509      15.6386     0.331756     -449.611      763.555      248.046   3.4108e+12      341.511
     8808450      322.102       52.488     0.264803      358.817      279.311      592.337   3.8511e+12      367.873
     9016840      314.414      37.7838      0.32634      501.312      511.672      555.314   2.7795e+12      327.353
    16048038      208.625      62.3281     0.273839     -314.097      171.426      682.382   2.9804e+12       340.71
     9637946       289.59      22.1812     0.334564      287.898      808.968      350.088   6.4967e+12      449.599
   109193230      187.538      5.24416      0.32219     -884.308      117.016      81.8731   6.3343e+12      436.145
     2169297      196.624      32.6547     0.314092     -705.914      210.769      472.136   4.9897e+12      415.911
    10388854      343.775      35.5754     0.243709       539.49      156.991      401.894   1.5605e+13      586.791
     3299377      196.662      59.5032     0.285599     -389.568      116.591      690.427   6.5302e+12      439.116
   116304734      226.094      55.8353     0.338837     -365.345      379.571      776.237   5.8471e+12      462.685
